x,a33_Bd2d_1_bem,a33_Bd2d_2_bem
"0,05269","3,8162",
"0,0689","3,3693",
"0,08916","2,914",
"0,12766","2,4581","4,9953"
"0,16008","2,1665","4,3742"
"0,17427","2,0596","4,1507"
"0,19655","1,9148","3,8605"
"0,22898","1,7353","3,5129"
"0,24113","1,6735","3,3877"
"0,28369","1,4688","2,9806"
"0,29787","1,4028","2,8732"
"0,34245","1,2269","2,6018"
"0,39109","1,0696","2,3656"
"0,44782","0,9172","2,1385"
"0,48835","0,8477","1,9984"
"0,53293","0,8149","1,8621"
"0,55724","0,8023","1,7975"
"0,61601","0,7743","1,663"
"0,62614","0,7701","1,642"
"0,68085","0,7639","1,5532"
"0,69098","0,7677","1,5416"
"0,77001","0,8143","1,4755"
"0,83485","0,8423","1,4483"
"0,84093","0,8448","1,4473"
"0,90375","0,8728","1,4457"
"0,97062","0,906","1,455"
"0,99494","0,9192","1,4589"
"1,0922","0,9676","1,48"
"1,1773","0,9931","1,5265"
"1,25431","1,0112","1,5675"
"1,26241","1,0131","1,5729"
"1,37386","1,0391","1,6596"
"1,46707","1,0611","1,7199"
"1,47113","1,0621","1,7221"
"1,62108","1,0966","1,7992"
"1,65552","1,1037","1,8145"
"1,72847","1,1169","1,8448"
"1,82371","1,1305","1,8883"
"1,86626","1,1356","1,9058"
"1,99595","1,1489","1,9423"
