x,a33_Bd2d_1_exp_a1
"0,23708","0,6193"
"0,27761","0,8161"
"0,31611","0,8725"
"0,46606","0,9331"
"0,46809","0,8834"
"0,7457","0,8152"
"0,8693","0,8602"
"1,03546","1,0276"
"1,19149","1,0383"
"1,35765","1,247"
"1,50355","1,2333"
"1,65755","1,2689"

x,a33_Bd2d_1_exp_a2
"0,29584","0,7989"
"0,42756","0,918"
"0,57548","0,8133"
"0,70719","0,7671"
"0,99291","1,0209"
"1,27457","1,1675"

x,a33_Bd2d_1_exp_a3
"0,18845","0,5384"
"0,19047","0,7119"
"0,21885","0,6365"
"0,37285","0,9117"
"0,50456","0,8986"
"0,65856","0,7854"
"0,79433","0,8382"
"0,92806","0,9407"
"1,0618","1,0514"
"1,18946","1,1293"

x,a33_Bd2d_2_exp_a1
"0,27761","2,0806"
"0,55927","1,6734"
"0,86322","1,4472"
"1,14286","1,4699"
"1,28673","1,6959"
"1,42249","1,7322"
"1,56636","1,8508"
"1,67781","1,9624"

x,a33_Bd2d_2_exp-a2
"0,24924","1,8172"
"0,36879","2,0193"
"0,4924","1,8495"
"0,64843","1,6288"
"0,79838","1,4331"
"0,93414","1,4611"
"1,0618","1,5721"
"1,21986","1,6489"
"1,34144","1,7683"
"1,49544","1,9031"
"1,6312","1,9641"

x,a33_Bd2d_2_exp-a3
"0,32422","1,9301"
"0,42959","1,7939"
"0,71125","1,5851"
"0,99899","1,5414"
"1,1773","1,6587"
"1,38602","1,7997"
