x,b33_Bd2d_1_bem,b33_Bd2d_2_bem
"0,00202",,"0,00437"
"0,00403",-9e-05,"0,01365"
"0,04234","0,08646","0,18449"
"0,05645","0,11354","0,23897"
"0,07661","0,14842","0,30736"
"0,12903","0,22825","0,47397"
"0,13105","0,2311","0,47984"
"0,1754","0,28733","0,59215"
"0,19758","0,3091","0,64013"
"0,22177","0,32916","0,69267"
"0,27621","0,36918","0,81165"
"0,28024","0,37212","0,81942"
"0,32258","0,40208","0,8803"
"0,33266","0,40767","0,89247"
"0,3629","0,41884","0,92355"
"0,3871","0,42413","0,93893"
"0,41331","0,42777","0,95335"
"0,4496","0,42716","0,97521"
"0,45968","0,4258","0,97882"
"0,52419","0,40977","0,98622"
"0,53024","0,40772","0,98702"
"0,59274","0,37788","0,98029"
"0,59678","0,37535","0,97819"
"0,67339","0,32068","0,92257"
"0,69355","0,30538","0,90742"
"0,75202","0,26154","0,86757"
"0,79234","0,23361","0,83461"
"0,81855","0,21593","0,80732"
"0,89113","0,16646","0,72205"
"0,89919","0,16117","0,71318"
"0,96774","0,12254","0,64089"
"0,97379","0,11978","0,63331"
"1,04234","0,09157","0,53328"
"1,06451","0,08246","0,50038"
"1,10686","0,0643","0,44797"
"1,1371","0,05437","0,41852"
"1,18952","0,04602","0,37109"
"1,21573","0,0438","0,34591"
"1,26411","0,0396","0,29881"
"1,27621","0,03805","0,28775"
"1,35686","0,02536","0,2217"
"1,37298","0,02267","0,20998"
"1,45565",,"0,15771"
"1,54234",,"0,11606"
"1,6129",,"0,08802"
"1,70161",,"0,05957"
"1,76815",,"0,04044"
"1,86694",,"0,02501"
"1,94355",,"0,01008"
